ORIGINAL
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 28682           
  Affine conic cons.     : 20000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 44342           
  Matrix variables       : 0               
  Integer variables      : 4342            

Optimizer started.
Mixed integer optimizer started.
Threads used: 20
Presolve started.
Presolve terminated. Time = 3.77, probing time =  3.15
Presolved problem: 64276 variables, 24251 constraints, 176760 non-zeros
Presolved problem: 1 general integer, 4275 binary, 60000 continuous
Presolved problem: 20000 cones
Clique table size: 4251
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        1        0        NA                   4.4191452342e+03     NA          12.7  
0        1        1        0        6.9214018152e+03     4.4191452342e+03     36.15       23.4  
0        1        1        0        6.3739783927e+03     4.4191452342e+03     30.67       36.0  
Cut generation started.
0        1        1        0        6.3739783927e+03     4.4191452204e+03     30.67       64.0  
Cut generation terminated. Time = 4.68
8        12       9        3        6.3739783927e+03     4.4406493542e+03     30.33       113.4 
19       23       20       3        6.3739783927e+03     4.4406493542e+03     30.33       127.3 
32       36       33       4        6.3739783927e+03     4.4680214289e+03     29.90       137.5 
72       76       63       7        6.3739783927e+03     4.5125900821e+03     29.20       150.1 
132      136      113      9        5.3596535499e+03     4.5125900821e+03     15.80       162.2 
232      221      127      11       5.0338387036e+03     4.5218592907e+03     10.17       179.7 
352      318      135      7        5.0338387036e+03     4.5721162161e+03     9.17        199.0 
472      435      167      10       4.9248389749e+03     4.5721162161e+03     7.16        217.0 
632      560      169      9        4.9075383119e+03     4.5726799761e+03     6.82        239.4 
792      703      187      9        4.9075383119e+03     4.6093456866e+03     6.08        253.1 
972      882      215      19       4.8730463340e+03     4.6093456866e+03     5.41        271.4 
1172     1041     215      9        4.8730463340e+03     4.6096960864e+03     5.40        292.2 
1372     1233     237      10       4.8602040075e+03     4.6180271457e+03     4.98        313.7 
1592     1432     277      25       4.8491772846e+03     4.6180271457e+03     4.77        339.6 
1852     1681     325      29       4.8326381938e+03     4.6629331669e+03     3.51        355.8 
2172     1981     359      23       4.8326381938e+03     4.6783101680e+03     3.19        379.6 
2512     2321     447      20       4.8326381938e+03     4.6801354068e+03     3.16        408.7 
2952     2761     539      28       4.8326381938e+03     4.6801354068e+03     3.16        435.4 
