Start with N = 5000, C0 = 10, max_point = 5, feature_case = full
The time for constructing x_order and v_order 530 milliseconds
The time for constructing optimization model is 7741 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 25576           
  Affine conic cons.     : 10000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 2.56, probing time =  2.13
Presolved problem: 37591 variables, 17518 constraints, 234880 non-zeros
Presolved problem: 1 general integer, 7590 binary, 30000 continuous
Presolved problem: 10000 cones
Clique table size: 7518
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        1        0        NA                   2.0256442189e+03     NA          6.9   
0        1        1        0        3.0726963738e+03     2.0256442189e+03     34.08       24.0  
0        1        1        0        2.4411524124e+03     2.0256442189e+03     17.02       33.3  
Cut generation started.
0        1        1        0        2.4411524124e+03     2.0256442602e+03     17.02       58.9  
Cut generation terminated. Time = 4.76
8        12       9        2        2.4411524124e+03     2.0355184997e+03     16.62       101.2 
19       23       20       3        2.4411524124e+03     2.0640930130e+03     15.45       116.1 
59       63       60       8        2.4411524124e+03     2.0640930130e+03     15.45       165.3 
119      123      112      4        2.4411524124e+03     2.0816706373e+03     14.73       225.9 
229      233      204      20       2.4411524124e+03     2.1054768709e+03     13.75       263.2 
429      433      260      26       2.4411524124e+03     2.1070584047e+03     13.69       312.2 
635      639      336      30       2.4411524124e+03     2.1218651477e+03     13.08       396.7 
861      865      394      31       2.4411524124e+03     2.1218651477e+03     13.08       493.8 
1089     1093     462      42       2.4388487054e+03     2.1556410646e+03     11.61       552.3 
1322     1323     515      25       2.4333543462e+03     2.1579583244e+03     11.32       637.6 
1562     1561     577      44       2.4232474997e+03     2.1579583244e+03     10.95       694.1 
1804     1790     643      51       2.4187665857e+03     2.1615432448e+03     10.63       805.2 
2047     2023     720      14       2.4176016270e+03     2.1630751324e+03     10.53       872.4 
