Start with N = 1000, C0 = 10, max_point = 5, feature_case = core
The time for constructing x_order and v_order 593 milliseconds
The time for constructing optimization model is 8907 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 3259            
  Affine conic cons.     : 2000            
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 5123            
  Matrix variables       : 0               
  Integer variables      : 1123            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.39, probing time =  0.23
Presolved problem: 7085 variables, 2198 constraints, 15205 non-zeros
Presolved problem: 108 general integer, 977 binary, 6000 continuous
Presolved problem: 2000 cones
Clique table size: 107
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        1        0        NA                   3.3957938958e+02     NA          0.7   
0        1        1        0        4.9334041585e+03     3.3957938958e+02     93.12       2.0   
0        1        1        0        4.5170972747e+03     3.3957938958e+02     92.48       3.1   
Cut generation started.
0        1        1        0        4.5170972747e+03     3.3957938946e+02     92.48       4.6   
Cut generation terminated. Time = 0.01
10       14       11       5        4.5170972747e+03     3.3958167557e+02     92.48       6.6   
33       37       34       6        4.5170972747e+03     3.3958167557e+02     92.48       7.9   
63       67       64       9        4.5170972747e+03     3.3958167557e+02     92.48       8.8   
123      127      124      15       4.5170972747e+03     3.3958167557e+02     92.48       10.5  
243      247      244      27       4.5170972747e+03     3.3958167557e+02     92.48       13.8  
457      461      458      49       4.5170972747e+03     3.3958167557e+02     92.48       19.2  
604      608      605      65       5.4874376762e+02     3.3958167557e+02     38.12       24.6  
814      818      815      86       5.4874376762e+02     3.3958167557e+02     38.12       29.9  
1024     1028     1025     107      5.4874376762e+02     3.3958167557e+02     38.12       35.3  
1234     1238     1235     128      5.4874376762e+02     3.3958167557e+02     38.12       40.8  
1443     1447     1444     149      5.4874376762e+02     3.3958167557e+02     38.12       47.1  
1646     1650     1647     169      5.4874376762e+02     3.3958167557e+02     38.12       54.7  
1843     1847     1844     190      5.4874376762e+02     3.3958167557e+02     38.12       63.7  
2038     2042     2039     209      5.4874376762e+02     3.3958167557e+02     38.12       72.7  
2230     2234     2231     229      5.4874376762e+02     3.3958167557e+02     38.12       81.8  
2425     2429     2426     249      5.4874376762e+02     3.3958167557e+02     38.12       90.0  
2626     2631     2617     269      5.4874376762e+02     3.3958167557e+02     38.12       97.9  
2824     2839     2765     288      5.4874376762e+02     3.3958167557e+02     38.12       105.2 
3031     3049     2938     306      5.4874376762e+02     3.3958167557e+02     38.12       110.9 
3241     3259     3148     57       5.4874376762e+02     3.3958167557e+02     38.12       116.7 
3451     3469     3358     11       5.4874376762e+02     3.3958167557e+02     38.12       122.4 
3663     3681     3570     40       5.4874376762e+02     3.3958167557e+02     38.12       128.1 
3880     3898     3787     19       5.4874376762e+02     3.3958167557e+02     38.12       133.7 
4099     4117     4006     33       5.4874376762e+02     3.3958167557e+02     38.12       139.3 
4317     4335     4224     25       5.4874376762e+02     3.3958167557e+02     38.12       145.0 
4535     4553     4442     39       5.4874376762e+02     3.3958167557e+02     38.12       150.6 
4734     4752     4641     30       5.4874376762e+02     3.3958167557e+02     38.12       156.4 
4951     4969     4858     38       5.4874376762e+02     3.3958167557e+02     38.12       162.1 
5167     5185     5074     42       5.4874376762e+02     3.3958167557e+02     38.12       167.6 
5387     5405     5294     56       5.4874376762e+02     3.3958167557e+02     38.12       173.0 
5608     5626     5515     68       5.4874376762e+02     3.3958167557e+02     38.12       178.5 
5833     5851     5740     50       5.4874376762e+02     3.3958167557e+02     38.12       184.0 
6059     6077     5966     85       5.4874376762e+02     3.3958167557e+02     38.12       189.3 
6286     6304     6193     94       5.4874376762e+02     3.3958167557e+02     38.12       194.7 
6516     6534     6423     117      5.4874376762e+02     3.3958167557e+02     38.12       199.9 
6746     6764     6653     140      5.4874376762e+02     3.3958167557e+02     38.12       205.0 
6972     6990     6879     162      5.4874376762e+02     3.3958167557e+02     38.12       210.7 
7197     7215     7102     184      5.4874376762e+02     3.3958167557e+02     38.12       216.2 
7420     7440     7305     207      5.4874376762e+02     3.3958167557e+02     38.12       221.5 
