The time for constructing x_order and v_order 468 milliseconds
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10][1.0, 0.36787944117144233, 0.1353352832366127, 0.049787068367863944, 0.01831563888873418, 0.006737946999085467, 0.0024787521766663585, 0.0009118819655545162, 0.00033546262790251185, 0.00012340980408667956]The time for constructing optimization model is 7561 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : LO (linear optimization problem)
  Constraints            : 243836          
  Affine conic cons.     : 0               
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 51919           
  Matrix variables       : 0               
  Integer variables      : 11919           

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 7.08, probing time =  1.82
Presolved problem: 41721 variables, 221648 constraints, 933660 non-zeros
Presolved problem: 10001 general integer, 11720 binary, 20000 continuous
Clique table size: 11648
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        0        1        0        0.0000000000e+00     NA                   NA          7.5   
0        1        1        0        0.0000000000e+00     -2.4476627040e+04    2.45e+16    34.2  
0        1        1        0        -2.0573977755e+04    -2.4476627040e+04    18.97       73.9  
0        1        1        0        -2.4062753023e+04    -2.4476627040e+04    1.72        92.5  
Cut generation started.
0        1        1        0        -2.4062753023e+04    -2.4476627040e+04    1.72        102.4 
Cut generation terminated. Time = 3.38
0        11       1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        193.4 
7        23       1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        225.9 
18       34       1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        258.6 
38       54       1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        317.8 
65       81       1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        348.0 
101      117      1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        372.0 
147      163      1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        396.1 
203      219      1        0        -2.4072785821e+04    -2.4476208148e+04    1.68        408.7 
260      276      1        0        -2.4091327520e+04    -2.4476208148e+04    1.60        420.2 
310      321      1        0        -2.4091327520e+04    -2.4476208148e+04    1.60        438.3 
371      381      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        451.1 
392      401      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        467.2 
449      458      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        482.7 
491      499      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        497.1 
545      553      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        509.9 
608      616      1        0        -2.4092271502e+04    -2.4476208148e+04    1.59        524.4 
689      696      1        0        -2.4100753288e+04    -2.4476208148e+04    1.56        535.8 
709      716      1        0        -2.4101949166e+04    -2.4476208148e+04    1.55        552.3 
764      771      1        0        -2.4101949166e+04    -2.4476208148e+04    1.55        575.2 
816      820      1        0        -2.4101949166e+04    -2.4476208148e+04    1.55        597.1 
860      863      1        0        -2.4102726838e+04    -2.4476208148e+04    1.55        611.9 
910      912      1        0        -2.4102726838e+04    -2.4476208148e+04    1.55        624.7 
971      973      1        0        -2.4102726838e+04    -2.4476208148e+04    1.55        640.1 
1017     1018     1        0        -2.4102726838e+04    -2.4476208148e+04    1.55        657.9 
1030     1031     14       3        -2.4102726838e+04    -2.4456330216e+04    1.47        716.0 
1041     1042     25       4        -2.4102726838e+04    -2.4445530295e+04    1.42        733.2 
1056     1057     40       6        -2.4102726838e+04    -2.4436782654e+04    1.39        757.2 
1082     1083     66       7        -2.4102726838e+04    -2.4435664289e+04    1.38        813.4 
1112     1113     94       10       -2.4102726838e+04    -2.4435147718e+04    1.38        846.4 
1142     1143     116      13       -2.4102726838e+04    -2.4435147718e+04    1.38        885.0 
1184     1185     128      8        -2.4102726838e+04    -2.4434095051e+04    1.37        910.9 
1231     1232     153      9        -2.4102726838e+04    -2.4427074155e+04    1.35        955.7 
1278     1279     176      9        -2.4102726838e+04    -2.4427074155e+04    1.35        1006.1
1321     1322     191      12       -2.4102726838e+04    -2.4416434226e+04    1.30        1042.6
1360     1361     222      16       -2.4102726838e+04    -2.4416434226e+04    1.30        1097.7
